Time,SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s] 
00:01:00,3.043211E+03,4.073668E+00,1.002096E-01,4.984570E-04,1.262491E+03,3.484399E-01,4.157244E-02,4.263517E-05,2.954530E+03,3.747225E-01,9.728945E-02,4.585175E-05,1.262491E+03,5.028128E+00,4.157244E-02,6.152447E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:02:00,3.043211E+03,3.620855E+00,1.002096E-01,4.430506E-04,1.262491E+03,3.054385E-01,4.157244E-02,3.737349E-05,2.954530E+03,3.747225E-01,9.728945E-02,4.585175E-05,1.262491E+03,4.629912E+00,4.157244E-02,5.665188E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:03:00,3.043211E+03,3.198867E+00,1.002096E-01,3.914158E-04,1.262491E+03,2.757540E-01,4.157244E-02,3.374128E-05,2.954530E+03,1.191677E-01,9.728945E-02,1.458212E-05,1.262491E+03,4.249587E+00,4.157244E-02,5.199820E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:04:00,3.043211E+03,2.807589E+00,1.002096E-01,3.435388E-04,1.262491E+03,2.757540E-01,4.157244E-02,3.374128E-05,2.954530E+03,1.191677E-01,9.728945E-02,1.458212E-05,1.262491E+03,3.887043E+00,4.157244E-02,4.756209E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:05:00,3.043211E+03,2.446922E+00,1.002096E-01,2.994073E-04,1.262491E+03,1.337465E-01,4.157244E-02,1.636569E-05,2.954530E+03,1.848928E-02,9.728945E-02,2.262479E-06,1.262491E+03,3.542176E+00,4.157244E-02,4.334228E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:06:00,3.043211E+03,2.116755E+00,1.002096E-01,2.590079E-04,1.262491E+03,1.337465E-01,4.157244E-02,1.636569E-05,2.954530E+03,1.848928E-02,9.728945E-02,2.262479E-06,1.262491E+03,3.214879E+00,4.157244E-02,3.933745E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:07:00,3.043211E+03,1.816990E+00,1.002096E-01,2.223285E-04,1.262491E+03,7.377111E-02,4.157244E-02,9.026755E-06,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,2.905051E+00,4.157244E-02,3.554637E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:08:00,3.043211E+03,1.547521E+00,1.002096E-01,1.893561E-04,1.262491E+03,7.377111E-02,4.157244E-02,9.026755E-06,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,2.612587E+00,4.157244E-02,3.196777E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:09:00,3.043211E+03,1.308251E+00,1.002096E-01,1.600789E-04,1.262491E+03,4.216331E-02,4.157244E-02,5.159067E-06,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,2.337389E+00,4.157244E-02,2.860043E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:10:00,3.043211E+03,1.099079E+00,1.002096E-01,1.344844E-04,1.262491E+03,4.216331E-02,4.157244E-02,5.159067E-06,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,2.079355E+00,4.157244E-02,2.544311E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:11:00,3.043211E+03,9.199096E-01,1.002096E-01,1.125612E-04,1.262491E+03,4.216331E-02,4.157244E-02,5.159067E-06,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,1.838390E+00,4.157244E-02,2.249465E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:12:00,3.043211E+03,7.706427E-01,1.002096E-01,9.429679E-05,1.262491E+03,4.216331E-02,4.157244E-02,5.159067E-06,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,1.614395E+00,4.157244E-02,1.975383E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:13:00,3.043211E+03,6.511873E-01,1.002096E-01,7.968016E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,1.407276E+00,4.157244E-02,1.721950E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:14:00,3.043211E+03,5.614449E-01,1.002096E-01,6.869922E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,1.216936E+00,4.157244E-02,1.489050E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:15:00,3.043211E+03,5.013279E-01,1.002096E-01,6.134327E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,1.043287E+00,4.157244E-02,1.276571E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:16:00,3.043211E+03,4.707407E-01,1.002096E-01,5.760060E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,8.862322E-01,4.157244E-02,1.084398E-04,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:17:00,3.043211E+03,4.707407E-01,1.002096E-01,5.760060E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,7.456852E-01,4.157244E-02,9.124242E-05,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:18:00,3.043211E+03,2.332040E-01,1.002096E-01,2.853549E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,6.215538E-01,4.157244E-02,7.605363E-05,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:19:00,3.043211E+03,2.332040E-01,1.002096E-01,2.853549E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,5.137520E-01,4.157244E-02,6.286294E-05,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:20:00,3.043211E+03,1.447285E-01,1.002096E-01,1.770906E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,4.221908E-01,4.157244E-02,5.165946E-05,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:21:00,3.043211E+03,1.447285E-01,1.002096E-01,1.770906E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,3.467865E-01,4.157244E-02,4.243294E-05,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:22:00,3.043211E+03,1.447285E-01,1.002096E-01,1.770906E-05,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,2.874525E-01,4.157244E-02,3.517279E-05,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
00:23:00,3.043211E+03,0.000000E+00,1.002096E-01,0.000000E+00,1.262491E+03,0.000000E+00,4.157244E-02,0.000000E+00,2.954530E+03,0.000000E+00,9.728945E-02,0.000000E+00,1.262491E+03,2.441075E-01,4.157244E-02,2.986908E-05,1.789086E+03,0.000000E+00,5.891271E-02,0.000000E+00 
