Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Inlet Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Outlet Temperature [C](TimeStep),SPACE1-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE2-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE3-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE4-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE5-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SUPPLY FAN 1:Fan Electric Power [W](TimeStep),CENTRAL CHILLER:Chiller Electric Power [W](TimeStep),HW CIRC PUMP:Pump Electric Power [W](TimeStep),CW CIRC PUMP:Pump Electric Power [W](TimeStep),CW DEMAND INLET NODE:System Node Temperature [C](TimeStep),CW DEMAND ENTRANCE PIPE OUTLET NODE:System Node Temperature [C](TimeStep),CW DEMAND EXIT PIPE INLET NODE:System Node Temperature [C](TimeStep),CW DEMAND OUTLET NODE:System Node Temperature [C](TimeStep),SUPPLY SIDE EXIT PIPE INLET NODE:System Node Temperature [C](TimeStep),CW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),CENTRAL CHILLER INLET NODE:System Node Temperature [C](TimeStep),CENTRAL CHILLER OUTLET NODE:System Node Temperature [C](TimeStep) 
 06/04  00:01:00,17.2,22.4025893165163,20.7977993293136,20.8597793943453,20.7950709262743,20.8823360658695,21.2193015735049,9.39928532660396,13.3763006906426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,13.9702489988285,9.39928532660396,13.3763006906426,9.39928532660396,9.39928532660396 
 06/04  00:02:00,17.2,22.3926703332931,20.7938955501866,20.8556667481168,20.7909478709306,20.8779925931314,21.2164362987977,9.39928532660396,13.3875583830611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,13.9797483270362,9.39928532660396,13.3875583830611,9.39928532660396,9.39928532660396 
 06/04  00:03:00,17.2,22.3827645167333,20.7899795831245,20.8515322804544,20.7867945020867,20.8736296417636,21.2135793050797,9.39928532660396,13.3987867808643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,13.9892229587627,9.39928532660396,13.3987867808643,9.39928532660396,9.39928532660396 
 06/04  00:04:00,17.2,22.3728723794158,20.7860520149583,20.8473770012558,20.7826116588982,20.8692481986307,21.2107305904212,9.39928532660396,13.4099862241585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,13.9986731826918,9.39928532660396,13.4099862241585,9.39928532660396,9.39928532660396 
 06/04  00:05:00,17.2,22.3629937349318,20.7821157270025,20.8432049234096,20.7784037988314,20.864852255401,21.2078901471155,9.39928532660396,13.421156870948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0080991333058,9.39928532660396,13.421156870948,9.39928532660396,9.39928532660396 
 06/04  00:06:00,17.2,22.3531294474211,20.77817387663,20.8390204142192,20.7741758597439,20.860446158559,21.2050579696896,9.39928532660396,13.4322987950389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0175008735616,9.39928532660396,13.4322987950389,9.39928532660396,9.39928532660396 
 06/04  00:07:00,17.2,22.3432794364483,20.7742292042785,20.8348272530148,20.7699321634838,20.8560336664848,21.2022340490749,9.39928532660396,13.4434120318527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0268784336978,9.39928532660396,13.4434120318527,9.39928532660396,9.39928532660396 
 06/04  00:08:00,17.2,22.3334446090578,20.7702839815617,20.8306285453629,20.7656763159618,20.8516178636125,21.1994183756127,9.39928532660396,13.4544965998475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0362318294353,9.39928532660396,13.4544965998475,9.39928532660396,9.39928532660396 
 06/04  00:09:00,17.2,22.3236248481196,20.7663401178684,20.8264268684243,20.7614113665866,20.8472013058679,21.1966109331006,9.39928532660396,13.4655525105154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0455610704981,9.39928532660396,13.4655525105154,9.39928532660396,9.39928532660396 
 06/04  00:10:00,17.2,22.3138210591661,20.7623992610356,20.8222244127749,20.7571399597279,20.8427861625757,21.1938117033167,9.39928532660396,13.4765797730322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0548661645889,9.39928532660396,13.4765797730322,9.39928532660396,9.39928532660396 
 06/04  00:11:00,17.2,22.3040330842415,20.7584628497515,20.8180230646436,20.7528644176926,20.8383742987448,21.1910206610573,9.39928532660396,13.4875783964035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0641471192301,9.39928532660396,13.4875783964035,9.39928532660396,9.39928532660396 
 06/04  00:12:00,17.2,22.2942618283872,20.7545321478865,20.81382445835,20.7485867916378,20.833967327539,21.1882377794728,9.39928532660396,13.4985483904397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0734039426033,9.39928532660396,13.4985483904397,9.39928532660396,9.39928532660396 
 06/04  00:13:00,17.2,22.2845070948351,20.7506082613671,20.8096300072904,20.7443088897749,20.8295666412775,21.1854630253047,9.39928532660396,13.5094897661833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.0826366439194,9.39928532660396,13.5094897661833,9.39928532660396,9.39928532660396 
 06/04  00:14:00,17.2,22.2747697864913,20.7466921595464,20.8054409353152,20.7400323079493,20.8251734428307,21.1826963645214,9.39928532660396,13.5204025360815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.091845233569,9.39928532660396,13.5204025360815,9.39928532660396,9.39928532660396 
 06/04  00:15:00,17.2,22.2650496679061,20.7427846876819,20.8012582991064,20.7357584509832,20.8207887680056,21.1799377575035,9.39928532660396,13.5312867140401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1010297231699,9.39928532660396,13.5312867140401,9.39928532660396,9.39928532660396 
 06/04  00:16:00,17.2,22.2553476382925,20.7388865857056,20.7970830139764,20.7314885592062,20.8164135113591,21.1771871648342,9.39928532660396,13.5421423154224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1101901255685,9.39928532660396,13.5421423154224,9.39928532660396,9.39928532660396 
 06/04  00:17:00,17.2,22.2456634244445,20.7349984976094,20.7929158705816,20.7272237251393,20.8120484429163,21.1744445423578,9.39928532660396,13.5529693570242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1193264548187,9.39928532660396,13.5529693570242,9.39928532660396,9.39928532660396 
 06/04  00:18:00,17.2,22.2359979212077,20.7311209870172,20.7887575551329,20.722964915109,20.8076942283922,21.1717098470605,9.39928532660396,13.5637678570378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1284387261521,9.39928532660396,13.5637678570378,9.39928532660396,9.39928532660396 
 06/04  00:19:00,17.2,22.2263508191586,20.7272545433578,20.7846086608404,20.7187129810667,20.8033514406389,21.168983031971,9.39928532660396,13.5745378350118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1375269559445,9.39928532660396,13.5745378350118,9.39928532660396,9.39928532660396 
 06/04  00:20:00,17.2,22.2167230085509,20.7233995947085,20.7804697036157,20.7144686779858,20.7990205753575,21.166264052096,9.39928532660396,13.5852793118101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1465911616811,9.39928532660396,13.5852793118101,9.39928532660396,9.39928532660396 
 06/04  00:21:00,17.2,22.2071141455501,20.7195565114798,20.7763411295904,20.710232671908,20.7947020586166,21.1635528591539,9.39928532660396,13.5959923095712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1556313619223,9.39928532660396,13.5959923095712,9.39928532660396,9.39928532660396 
 06/04  00:22:00,17.2,22.1975251158114,20.7157256172333,20.7722233275677,20.7060055541948,20.7903962593128,21.1608494075479,9.39928532660396,13.6066768516677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1646475762697,9.39928532660396,13.6066768516677,9.39928532660396,9.39928532660396 
 06/04  00:23:00,17.2,22.1879555430088,20.7119071904949,20.7681166336941,20.7017878467398,20.7861034938419,21.1581536489375,9.39928532660396,13.6173329626677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1736398253335,9.39928532660396,13.6173329626677,9.39928532660396,9.39928532660396 
 06/04  00:24:00,17.2,22.1784063083021,20.7081014740544,20.764021341551,20.6975800138551,20.7818240361975,21.1554655382407,9.39928532660396,13.6279606682973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1826081307006,9.39928532660396,13.6279606682973,9.39928532660396,9.39928532660396 
 06/04  00:25:00,17.2,22.1688770048168,20.7043086753464,20.7599377047324,20.6933824653197,20.777558120548,21.1527850280536,9.39928532660396,13.6385599954036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.1915525149041,9.39928532660396,13.6385599954036,9.39928532660396,9.39928532660396 
 06/04  00:26:00,17.2,22.1593685093673,20.700528974601,20.755865945207,20.6891955664692,20.7733059496048,21.1501120746799,9.39928532660396,13.64913097192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2004730013931,9.39928532660396,13.64913097192,9.39928532660396,9.39928532660396 
 06/04  00:27:00,17.2,22.1498803864378,20.6967625241235,20.7518062543479,20.6850196395845,20.7690676956504,21.1474466324119,9.39928532660396,13.6596736268319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2093696145047,9.39928532660396,13.6596736268319,9.39928532660396,9.39928532660396 
 06/04  00:28:00,17.2,22.1404135086564,20.6930094555746,20.7477588000256,20.6808549726159,20.7648435076377,21.1447886595863,9.39928532660396,13.6701879901439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2182423794356,9.39928532660396,13.6701879901439,9.39928532660396,9.39928532660396 
 06/04  00:29:00,17.2,22.1309674137041,20.6892698784019,20.7437237264918,20.6767018192973,20.7606335110705,21.1421381127416,9.39928532660396,13.6806740928478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2270913222154,9.39928532660396,13.6806740928478,9.39928532660396,9.39928532660396 
 06/04  00:30:00,17.2,22.1215429701707,20.6855438864613,20.7397011605412,20.672560406832,20.7564378141717,21.1394949527013,9.39928532660396,13.6911319668917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.235916469681,9.39928532660396,13.6911319668917,9.39928532660396,9.39928532660396 
 06/04  00:31:00,17.2,22.1121396903866,20.6818315557937,20.7356912105446,20.6685565775503,20.7522565069122,21.1368591386216,9.39928532660396,13.7015616451507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2447178494508,9.39928532660396,13.7015616451507,9.39928532660396,9.39928532660396 
 06/04  00:32:00,17.2,22.1027584667163,20.6781329507481,20.7316939719271,20.664699402387,20.7480896664948,21.1342306341038,9.39928532660396,13.7119631613976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2534954899013,9.39928532660396,13.7119631613976,9.39928532660396,9.39928532660396 
 06/04  00:33:00,17.2,22.0933988473252,20.6744481215081,20.7277095258229,20.6609605544618,20.7439373560052,21.1316094014056,9.39928532660396,13.7223365502754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2622494201426,9.39928532660396,13.7223365502754,9.39928532660396,9.39928532660396 
 06/04  00:34:00,17.2,22.0840617743517,20.6707771100048,20.7237379442214,20.6573123625137,20.7397996295622,21.1289954077522,9.39928532660396,13.7326818472698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2709796699964,9.39928532660396,13.7326818472698,9.39928532660396,9.39928532660396 
 06/04  00:35:00,17.2,22.0747467870526,20.6671199467266,20.7197792878758,20.6537363588842,20.7356765302228,21.1263886191842,9.39928532660396,13.7429990886838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2796862699737,9.39928532660396,13.7429990886838,9.39928532660396,9.39928532660396 
 06/04  00:36:00,17.2,22.0654547978969,20.6634766559847,20.7158336108299,20.6502210198408,20.731568094512,21.1237890066747,9.39928532660396,13.7532883116115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2883692512533,9.39928532660396,13.7532883116115,9.39928532660396,9.39928532660396 
 06/04  00:37:00,17.2,22.0561852779597,20.6599794558637,20.711900957976,20.6467583939073,20.7274743499773,21.1211965399336,9.39928532660396,13.7635495539146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.2970286456614,9.39928532660396,13.7635495539146,9.39928532660396,9.39928532660396 
 06/04  00:38:00,17.2,22.0469391315094,20.6566237650136,20.7079813695546,20.6433421999733,20.7233953196916,21.1186111938222,9.39928532660396,13.7737828541977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.3056644856515,9.39928532660396,13.7737828541977,9.39928532660396,9.39928532660396 
 06/04  00:39:00,17.2,22.0377158601306,20.6533729272031,20.7040748790526,20.6399671245179,20.7193310201462,21.1160329427085,9.39928532660396,13.7839882517861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.314276804285,9.39928532660396,13.7839882517861,9.39928532660396,9.39928532660396 
 06/04  00:40:00,17.2,22.0285164034148,20.65019800898,20.7001815177549,20.6366286383536,20.7152814658066,21.1134617671599,9.39928532660396,13.7941657867029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.3228656352121,9.39928532660396,13.7941657867029,9.39928532660396,9.39928532660396 
 06/04  00:41:00,17.2,22.0193402314393,20.6470825464683,20.6963013118178,20.6333229254197,20.7112466661803,21.1108976476067,9.39928532660396,13.8043154996477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.3314310126542,9.39928532660396,13.8043154996477,9.39928532660396,9.39928532660396 
 06/04  00:42:00,17.2,22.0101882345233,20.6440175260784,20.6924342861934,20.6300468053728,20.707226629744,21.1083405706287,9.39928532660396,13.8144374319757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.3399729713858,9.39928532660396,13.8144374319757,9.39928532660396,9.39928532660396 
 06/04  00:43:00,17.2,22.0010598153802,20.6409970158468,20.6885804615468,20.6267976354631,20.7032213608567,21.1057905225863,9.39928532660396,13.8245316256773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55129322525729,7.55129322525729,7.55129322525729,14.3484915467173,9.39928532660396,13.8245316256773,9.39928532660396,9.39928532660396 
