Time,VAV SYS 1:Des Heat Mass Flow [kg/s],VAV SYS 1:Des Cool Mass Flow [kg/s],VAV SYS 1:Des Heat Cap [W],VAV SYS 1:Des Sens Cool Cap [W] 
00:01:00,4.221556E-01,3.105723E-01,1.024077E+04,3.094379E+03 
00:02:00,4.221556E-01,3.105723E-01,1.024077E+04,3.091040E+03 
00:03:00,4.221556E-01,3.105723E-01,1.024077E+04,3.087701E+03 
00:04:00,4.221556E-01,3.105723E-01,1.024077E+04,3.084361E+03 
00:05:00,4.221556E-01,3.105723E-01,1.024077E+04,3.081022E+03 
00:06:00,4.221556E-01,3.105723E-01,1.024077E+04,3.077683E+03 
00:07:00,4.221556E-01,3.105723E-01,1.024077E+04,3.074344E+03 
00:08:00,4.221556E-01,3.105723E-01,1.024077E+04,3.071004E+03 
00:09:00,4.221556E-01,3.105723E-01,1.024077E+04,3.067665E+03 
00:10:00,4.221556E-01,3.105723E-01,1.024077E+04,3.064326E+03 
00:11:00,4.221556E-01,3.105723E-01,1.024077E+04,3.060987E+03 
00:12:00,4.221556E-01,3.105723E-01,1.024077E+04,3.057647E+03 
00:13:00,4.221556E-01,3.105723E-01,1.024077E+04,3.054308E+03 
00:14:00,4.221556E-01,3.105723E-01,1.024077E+04,3.050969E+03 
00:15:00,4.221556E-01,3.105723E-01,1.024077E+04,3.047629E+03 
00:16:00,4.221556E-01,3.105723E-01,1.024077E+04,3.044290E+03 
00:17:00,4.221556E-01,3.105723E-01,1.024077E+04,3.040951E+03 
00:18:00,4.221556E-01,3.105723E-01,1.024077E+04,3.037612E+03 
00:19:00,4.221556E-01,3.105723E-01,1.024077E+04,3.034272E+03 
00:20:00,4.221556E-01,3.105723E-01,1.024077E+04,3.030933E+03 
00:21:00,4.221556E-01,3.105723E-01,1.024077E+04,3.027594E+03 
00:22:00,4.221556E-01,3.105723E-01,1.024077E+04,3.024255E+03 
00:23:00,4.221556E-01,3.105723E-01,1.024077E+04,3.020915E+03 
00:24:00,4.221556E-01,3.105723E-01,1.024077E+04,3.017576E+03 
00:25:00,4.221556E-01,3.105723E-01,1.024077E+04,3.014237E+03 
00:26:00,4.221556E-01,3.105723E-01,1.024077E+04,3.010898E+03 
00:27:00,4.221556E-01,3.105723E-01,1.024077E+04,3.007558E+03 
00:28:00,4.221556E-01,3.105723E-01,1.024077E+04,3.004219E+03 
00:29:00,4.221556E-01,3.105723E-01,1.024077E+04,3.000880E+03 
00:30:00,4.221556E-01,3.105723E-01,1.024077E+04,2.997540E+03 
00:31:00,4.221556E-01,3.105723E-01,1.024077E+04,2.994201E+03 
00:32:00,4.221556E-01,3.105723E-01,1.024077E+04,2.990862E+03 
00:33:00,4.221556E-01,3.105723E-01,1.024077E+04,2.987523E+03 
00:34:00,4.221556E-01,3.105723E-01,1.024077E+04,2.984183E+03 
00:35:00,4.221556E-01,3.105723E-01,1.024077E+04,2.980844E+03 
00:36:00,4.221556E-01,3.105723E-01,1.024077E+04,2.977505E+03 
00:37:00,4.221556E-01,3.105723E-01,1.024077E+04,2.974166E+03 
00:38:00,4.221556E-01,3.105723E-01,1.024077E+04,2.970826E+03 
00:39:00,4.221556E-01,3.105723E-01,1.024077E+04,2.967487E+03 
00:40:00,4.221556E-01,3.105723E-01,1.024077E+04,2.964148E+03 
00:41:00,4.221556E-01,3.105723E-01,1.024077E+04,2.960808E+03 
00:42:00,4.221556E-01,3.105723E-01,1.024077E+04,2.957469E+03 
00:43:00,4.221556E-01,3.105723E-01,1.024077E+04,2.954130E+03 
00:44:00,4.221556E-01,3.105723E-01,1.024077E+04,2.950791E+03 
00:45:00,4.221556E-01,3.105723E-01,1.024077E+04,2.947451E+03 
00:46:00,4.221556E-01,3.105723E-01,1.024077E+04,2.944112E+03 
00:47:00,4.221556E-01,3.105723E-01,1.024077E+04,2.940773E+03 
00:48:00,4.221556E-01,3.105723E-01,1.024077E+04,2.937434E+03 
00:49:00,4.221556E-01,3.105723E-01,1.024077E+04,2.934094E+03 
